id,Pattern/Color/Print,Detail,Material,Finish/Effect,Length,Collar,Neck,Design/Silhouette,Hood,Sleeves,Hem
20934097,light beige,"layered design, padded panels, quilted panels, throat latch, epaulettes, belted cuffs, belted waist, side press-stud fastening, inverted pleat",wool,None,mid-length,rounded collar,funnel neck,"double-breasted, concealed front fastening",None,long sleeves,straight hem
18958106,navy blue,padded design,"virgin wool blend, feather down",cuff zips,None,high neck,None,None,drawstring hood,long sleeves,None
17915246,navy blue,logo patch,virgin wool blend,None,mid-length,notched collar,V-neck,single-breasted,None,long sleeves,None
18658922,brown,embossed gold-tone buttons,wool,None,above-knee,wide notch lapels,None,fitted waistline,None,long,straight
21256100,charcoal grey,peak lapels,cashmere,faux double-breasted front,mid-calf length,peak lapels,None,None,None,long sleeves,straight hem
21119012,brown and black,quilted,None,None,None,None,V-neck,layered design,None,sleeveless,straight hem
20472162,light beige,patterned jacquard,mohair-wool blend,striped border,long,None,high neck,cape,None,None,fringed edge
20471984,light beige,padded design,feather down,press-stud fastening,calf-length,stand-up collar,None,classic hood,classic hood,long sleeves,straight hem
19414491,Elephant grey,shawl lapels,wool-cashmere blend,None,None,shawl lapels,None,None,None,long sleeves,None
19537795,camel brown,gold-tone hardware,cotton,None,mid-length,classic collar,None,double-breasted trench coat,None,long sleeves,rear slit
19948608,navy blue,double-breasted button fastening,wool blend,full lining,None,spread collar,None,peacoat,None,long sleeves,straight hem
20703174,amethyst purple,"notched lapels, front button fastening, chest welt pocket, two side flap pockets, American rear vent",wool,None,None,notched lapels,None,single-breasted,None,long sleeves,straight hem
20532564,black,logo patch at the sleeve,None,high-shine finish,mid-length,None,None,padded design,drawstring hood,long sleeves,straight hem
19352493,White/pollen,fringe detailing,virgin wool,None,None,None,V-neck,belted coat,None,long sleeves,None
18849197,navy blue,"Vintage Check-pattern lining, epaulettes, storm flap",cotton,None,None,spread collar,hook and eye fastening,double-breasted trench coat,None,"long sleeves, belted cuffs",central rear vent
20527841,light beige,"drawstring cuffs, two side inset pockets, drawstring hem",None,front zip fastening,None,None,None,classic,hood,long sleeves,drawstring hem
19724871,"navy blue, dark green","logo patch, drawstring, press-stud fastening, chest patch pocket, front patch pockets","goose down, down-feather","panelled, quilted",None,None,None,None,drawstring hood,long sleeves,curved hem
