id,Design/Style,Color/Print/Pattern,Sleeves,Detail,Shoulder,Neckline,Effect/Finish,Hem,Trim,Material,Back,Hood
15745526,cover-up,Black,short sleeves,embroidered detail,None,V-neck,None,straight hem,tied waist,cotton-blend,None,None
19908587,kaftan dress,"multicolour, all-over graphic print",long wide sleeves,self-tie fastening,None,stand-up collar,None,long length,None,None,None,None
21337467,tracksuit,black,long sleeves,"logo print at the sleeve, dart detailing",None,None,stretch,straight hem,None,stretch-cotton,logo print to the rear,drawstring hood
20557889,tracksuit set,black,long sleeves,logo print,drop shoulder,crew neck,stretch,straight hem,two side slit pockets,stretch-cotton,None,None
19765736,tracksuit,black,long sleeves,logo print,logo print at the shoulder,None,jersey fleece,ribbed hem,stripe trim,stretch-cotton,None,drawstring hood
20197888,corset style,black/multicolour,spaghetti straps,shirred panel,None,square neck,None,cropped,None,linen,concealed rear zip fastening,None
19908167,Callie sequin-embellished,black,one-shoulder,crystal embellishment,one-shoulder,None,sequin-embellished,straight hem,None,stretch-jersey,None,None
20113217,cropped,forest green,short sleeves,flocked logo,turn-up cuffs,round neck,None,straight hem,None,organic cotton,None,None
20608023,hoodie,off-white,long sleeves,"signature Ami de Coeur monogram motif, embroidered logo at the chest",drop shoulder,drawstring hood,None,straight hem,ribbed trim,organic cotton,None,drawstring hood
19975526,panelled design,bubblegum pink,long sleeves,raised logo detail,drop shoulder,None,jersey fleece,straight hem,ribbed cuffs and hem,cotton blend,None,slouchy drawstring hood
20250352,T-Shirt,black,short sleeves,jersey knit,None,crew neck,None,straight hem,None,cotton,None,None
20234079,T-shirt,white/black,short sleeves,"graphic print to the front, logo print to the front",None,crew neck,None,straight hem,None,organic cotton,None,None
19906824,tube top,light beige,strapless,rear zip fastening,strapless,None,stretch-design,straight hem,None,None,rear zip fastening,None
20086184,top,floral-print light blue,None,ruffled trim,None,V-neck,None,cropped,ruffle-trim,None,None,None
20659449,T-shirt,grey,short sleeves,signature Polo Bear motif,None,crew neck,None,straight hem,None,cotton,None,None
20905143,asymmetric,black,None,cut-out detailing,strapless,None,fine ribbed,straight hem,None,None,None,None
18567943,bodysuit,rust brown,sleeveless,stretch-design,None,square neck,scuba jersey,None,None,scuba,scoop back,None
