id,Fastening,Waist/Waistline,Detail,Material,Color/Print/Pattern,Design/Silhouette,Leg Style,Finish/Effect
20784860,pull-on,elasticated drawstring waistband,logo tag,silk,"black/multicolour, all-over floral print, all-over logo print",wide leg,palazzo,None
20205739,elasticated waistband,high waist,embroidered logo,cotton blend,"black, off-white",flared,None,velvet
17190831,elasticated,waistband,"side stripe detailing, check pattern, rear welt pocket, ribbed cuffs",cotton,"Black, Vintage Check",track pants,None,None
20275015,None,logo waistband,crescent moon print,recycled polyamide blend,"black, light beige",stretch-design,None,None
20848800,drawstring fastening,None,logo patch to the front,"organic cotton blend, recycled polyester",black,None,elasticated cuffs,None
19526870,hook and zip fly fastening,mid-rise,keyring attachment,satin weave,black,panelled design,wide leg,stretch-design
18726049,front zip fastening,None,detachable coin purse,cotton,black,flared,flared,None
20793011,None,high-waisted,gold-tone logo plaque,None,"ecru, black",stretch-design,None,all-over logo print
18914643,None,belted waist,frayed detailing,stretch-cotton,sage green,wide-leg,None,None
18701230,elasticated waistband,high-waisted,seam detailing,stretch-design,black,flared,flared,None
19350151,drawstring fastening,mid-rise,ankle zips,cotton blend,ivory white,parachute trousers,straight leg,None
19350707,front button and zip fastening,belt loops,"two side inset pockets, two rear welt pockets",cotton blend,cloud white,cropped leg,wide-leg,None
19620994,drawstring fastening,drawstring-waist,"two side slit pockets, elasticated ankles",organic cotton blend,black,track pants,None,recycled or upcycled materials
20142483,adjustable waist strap,high-waisted,padlock detail,"cotton, virgin wool blend",black,fold-over,tapered leg,silver-tone hardware
18617482,None,mid-rise,elasticated ankles,None,black,tapered leg,tapered leg,None
21235868,front button fastening,high-waisted,pleat detailing,None,coffee brown,None,"wide leg, tapered leg",None
19284655,None,high waist,scallop edge,crochet knit,ecru,straight leg,straight leg,None
19285317,front button-fastening,high-waisted,chain-link detailing,cotton blend,pastel yellow,tailored,flared,None
20472335,concealed front fastening,None,pressed crease,cotton blend,multicolour,tailored,straight leg,None
19527302,None,elasticated waistband,logo patch to the side,cotton,black,tapered leg,None,jersey knit
